recordid,customer_id,account_length,area_code,international_plan,total_intl_minutes,total_intl_calls,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes_2,total_intl_calls_2,total_intl_charge,number_customer_service_calls,churn
1,23383607,101,510,false,10.6,3,false,0,70.9,123,12.05,211.9,73,18.01,236.0,73,10.62,10.6,3,2.86,3,false
2,22550362,137,510,false,9.5,7,false,0,223.6,86,38.01,244.8,139,20.81,94.2,81,4.24,9.5,7,2.57,0,false
3,59063354,103,408,false,13.7,6,true,29,294.7,95,50.1,237.3,105,20.17,300.3,127,13.51,13.7,6,3.7,1,false
4,25464504,99,415,false,15.7,2,false,0,216.8,123,36.86,126.4,88,10.74,220.6,82,9.93,15.7,2,4.24,1,false
5,691824,108,415,false,7.7,4,false,0,197.4,78,33.56,124.0,101,10.54,204.5,107,9.2,7.7,4,2.08,2,false
6,24456543,117,415,false,6.9,5,false,0,226.5,85,38.51,141.6,68,12.04,223.0,90,10.04,6.9,5,1.86,1,false
7,29694916,63,415,false,12.9,3,true,32,218.9,124,37.21,214.3,125,18.22,260.3,120,11.71,12.9,3,3.48,1,false
8,69020915,94,408,false,11.1,6,false,0,157.5,97,26.78,224.5,112,19.08,310.8,106,13.99,11.1,6,3.0,0,false
9,22612071,138,510,false,9.9,4,false,0,89.1,117,15.15,126.8,46,10.78,190.5,71,8.57,9.9,4,2.67,2,false
10,12721031,128,415,false,11.9,1,true,43,177.8,100,30.23,147.3,89,12.52,194.2,92,8.74,11.9,1,3.21,0,false
11,41876970,113,510,false,9.0,4,true,39,209.8,77,35.67,164.1,90,13.95,159.7,100,7.19,9.0,4,2.43,1,false
12,29022514,140,415,false,10.5,2,false,0,93.2,109,15.84,197.6,116,16.8,219.8,94,9.89,10.5,2,2.84,1,false
13,21477385,102,415,false,10.6,9,false,0,228.1,86,38.78,156.0,97,13.26,227.9,124,10.26,10.6,9,2.86,1,false
14,38362620,108,415,false,7.2,6,false,0,112.6,86,19.14,114.9,101,9.77,177.8,119,8.0,7.2,6,1.94,3,false
15,4476719,60,408,false,12.9,5,false,0,207.3,77,35.24,207.9,105,17.67,108.2,89,4.87,12.9,5,3.48,1,false
16,59580324,96,408,false,7.4,2,false,0,208.1,93,35.38,189.2,107,16.08,279.6,90,12.58,7.4,2,2.0,1,false
17,29066792,178,415,false,14.3,3,true,22,112.8,66,19.18,232.6,100,19.77,194.8,119,8.77,14.3,3,3.86,1,false
18,308998301,75,415,false,11.7,3,false,0,225.3,124,38.3,228.0,81,19.38,254.3,106,11.44,11.7,3,3.16,1,false
19,31674732,106,415,false,13.9,5,true,25,169.4,105,28.8,240.5,108,20.44,159.4,114,7.17,13.9,5,3.75,4,false
20,27180025,158,510,false,7.1,9,false,0,193.3,121,32.86,208.1,97,17.69,228.1,99,10.26,7.1,9,1.92,1,false
21,22430953,111,415,false,14.7,5,true,35,161.2,142,27.4,159.1,104,13.52,167.9,98,7.56,14.7,5,3.97,1,false
22,40695116,102,510,false,9.8,2,false,0,95.6,88,16.25,167.6,106,14.25,177.3,95,7.98,9.8,2,2.65,3,false
23,25548363,92,510,false,9.3,8,true,25,79.8,99,13.57,313.6,120,26.66,135.5,104,6.1,9.3,8,2.51,2,false
24,624320,42,415,false,11.0,3,true,31,170.8,101,29.04,233.4,104,19.84,174.2,121,7.84,11.0,3,2.97,2,false
25,25395633,69,415,false,5.2,5,false,0,229.2,111,38.96,165.3,104,14.05,235.1,80,10.58,5.2,5,1.4,1,false
26,306925694,117,415,false,9.2,1,true,38,259.3,94,44.08,245.6,71,20.88,269.3,125,12.12,9.2,1,2.48,3,false
27,79746376,76,415,false,10.1,5,true,41,212.6,110,36.14,172.7,97,14.68,186.3,78,8.38,10.1,5,2.73,0,false
28,27729458,72,415,true,11.1,6,false,0,101.0,110,17.17,240.0,70,20.4,333.5,105,15.01,11.1,6,3.0,0,false
29,20529,115,415,true,10.1,3,true,6,140.1,125,23.82,157.9,100,13.42,249.4,96,11.22,10.1,3,2.73,1,false
30,50720911,68,408,false,12.3,3,false,0,150.4,106,25.57,199.0,131,16.92,109.7,103,4.94,12.3,3,3.32,3,false
31,22960793,60,510,true,9.1,5,true,37,189.9,125,32.28,110.4,107,9.38,210.7,115,9.48,9.1,5,2.46,3,false
32,53227401,97,415,false,12.6,3,false,0,100.8,74,17.14,233.8,88,19.87,208.7,79,9.39,12.6,3,3.4,2,false
33,56836901,92,415,false,10.0,3,false,0,138.1,131,23.48,175.7,128,14.93,192.7,119,8.67,10.0,3,2.7,3,false
34,52586328,178,510,false,10.1,7,false,0,179.7,112,30.55,276.6,91,23.51,169.7,101,7.64,10.1,7,2.73,3,false
35,13517693,90,415,false,11.0,1,true,30,191.3,104,32.52,257.1,109,21.85,177.7,89,8.0,11.0,1,2.97,1,false
36,56178460,72,510,false,12.0,3,false,0,168.3,76,28.61,212.4,126,18.05,200.2,132,9.01,12.0,3,3.24,2,false
37,24882292,73,415,false,10.7,2,false,0,137.6,113,23.39,179.7,75,15.27,172.8,71,7.78,10.7,2,2.89,1,true
38,30343685,54,415,false,11.1,6,false,0,255.4,122,43.42,22.3,87,1.9,152.6,72,6.87,11.1,6,3.0,0,false
39,22031413,161,415,false,13.4,6,false,0,166.2,125,28.25,279.4,78,23.75,181.0,85,8.15,13.4,6,3.62,1,false
40,27984533,125,510,true,8.3,1,false,0,158.7,112,26.98,155.7,126,13.23,246.0,110,11.07,8.3,1,2.24,2,true
41,36390219,194,415,false,13.6,4,false,0,258.3,76,43.91,306.0,88,26.01,241.8,106,10.88,13.6,4,3.67,1,true
42,25262015,69,510,false,12.5,6,true,40,77.0,106,13.09,161.7,94,13.74,188.6,82,8.49,12.5,6,3.38,1,false
43,25339474,141,415,false,11.0,4,true,33,168.4,127,28.63,185.1,106,15.73,220.0,78,9.9,11.0,4,2.97,2,false
44,29030632,98,415,false,10.2,4,false,0,307.2,65,52.22,138.6,97,11.78,381.6,99,17.17,10.2,4,2.75,2,true
45,69924017,110,510,false,9.5,8,false,0,175.6,91,29.85,236.5,127,20.1,194.9,114,8.77,9.5,8,2.57,0,false
46,8063695,70,415,false,10.7,8,false,0,169.1,48,28.75,219.8,62,18.68,193.5,105,8.71,10.7,8,2.89,3,false
47,32260697,72,415,false,4.4,3,false,0,190.7,111,32.42,241.6,103,20.54,278.1,95,12.51,4.4,3,1.19,1,false
48,51987113,66,415,false,8.6,3,false,0,239.6,120,40.73,230.3,110,19.58,153.0,82,6.89,8.6,3,2.32,1,false
49,22868814,79,510,false,7.4,4,false,0,121.3,112,20.62,282.8,107,24.04,123.1,83,5.54,7.4,4,2.0,1,false
50,33890245,61,408,false,10.1,8,false,0,208.4,102,35.43,326.1,96,27.72,201.9,73,9.09,10.1,8,2.73,1,true
51,5044516,97,510,true,6.8,4,false,0,230.6,131,39.2,261.3,136,22.21,157.1,96,7.07,6.8,4,1.84,0,false
52,25279563,63,415,false,11.1,8,false,0,112.5,95,19.13,211.2,67,17.95,227.5,96,10.24,11.1,8,3.0,0,false
53,50749241,77,408,false,11.8,4,true,36,172.2,88,29.27,161.6,112,13.74,259.7,115,11.69,11.8,4,3.19,2,false
54,28833192,73,408,false,16.2,13,false,0,195.3,97,33.2,96.8,89,8.23,243.1,84,10.94,16.2,13,4.37,1,false
55,56525611,105,510,false,6.9,5,false,0,167.7,93,28.51,234.1,103,19.9,169.7,121,7.64,6.9,5,1.86,3,false
56,57311961,159,408,false,13.4,5,false,0,180.1,103,30.62,193.4,148,16.44,251.2,109,11.3,13.4,5,3.62,0,false
57,28799229,83,510,false,9.8,4,false,0,129.6,81,22.03,189.7,117,16.12,219.0,118,9.86,9.8,4,2.65,2,false
58,52090354,93,510,false,13.2,4,false,0,215.5,108,36.64,230.9,70,19.63,144.1,134,6.48,13.2,4,3.56,0,false
59,304298219,106,408,false,9.1,6,true,22,218.6,83,37.16,244.4,70,20.77,132.4,99,5.96,9.1,6,2.46,1,false
60,59615831,98,415,false,9.9,3,false,0,211.9,65,36.02,224.6,95,19.09,233.0,81,10.49,9.9,3,2.67,2,false
61,22783955,163,415,false,8.0,4,false,0,82.0,95,13.94,125.2,103,10.64,171.3,107,7.71,8.0,4,2.16,1,false
62,37644754,169,408,false,11.4,7,true,22,149.1,103,25.35,207.2,91,17.61,265.4,92,11.94,11.4,7,3.08,2,false
63,23097868,111,415,false,12.4,1,false,0,304.6,56,51.78,157.6,101,13.4,188.2,116,8.47,12.4,1,3.35,1,true
64,360966,163,510,false,10.4,8,false,0,277.7,118,47.21,115.3,91,9.8,170.3,90,7.66,10.4,8,2.81,0,false
65,54590682,57,510,false,7.5,7,false,0,155.2,99,26.38,214.1,98,18.2,241.0,64,10.85,7.5,7,2.03,1,false
66,37582376,117,415,false,10.6,6,false,0,198.5,75,33.75,179.8,92,15.28,234.1,119,10.53,10.6,6,2.86,0,false
67,28737880,85,408,false,12.8,4,false,0,209.1,57,35.55,110.7,111,9.41,113.3,113,5.1,12.8,4,3.46,1,false
68,40724429,132,415,false,18.9,2,false,0,200.0,104,34.0,149.6,101,12.72,137.1,110,6.17,18.9,2,5.1,1,false
69,54860267,190,415,false,7.6,3,false,0,196.1,95,33.34,228.3,88,19.41,243.6,95,10.96,7.6,3,2.05,3,false
70,65336364,39,510,false,7.1,2,false,0,121.6,99,20.67,267.6,99,22.75,99.7,88,4.49,7.1,2,1.92,1,false
71,37599461,84,415,false,0.0,0,false,0,204.1,132,34.7,164.4,117,13.97,165.1,123,7.43,0.0,0,0.0,1,false
72,23092778,71,415,false,11.3,5,false,0,212.1,114,36.06,235.9,91,20.05,207.7,135,9.35,11.3,5,3.05,4,false
73,31491459,114,415,false,13.8,2,false,0,178.3,86,30.31,176.5,99,15.0,187.1,83,8.42,13.8,2,3.73,1,false
74,55340178,135,415,false,7.0,6,false,0,181.8,92,30.91,159.6,63,13.57,232.4,78,10.46,7.0,6,1.89,0,false
75,24150286,93,415,false,9.6,6,false,0,120.6,104,20.5,205.5,95,17.47,182.5,107,8.21,9.6,6,2.59,2,false
76,17300377,82,415,false,8.8,9,false,0,172.4,112,29.31,131.7,89,11.19,182.8,78,8.23,8.8,9,2.38,1,false
77,31746589,64,415,false,7.3,2,false,0,160.6,110,27.3,171.9,97,14.61,105.2,56,4.73,7.3,2,1.97,0,true
78,5632443,76,408,false,15.1,3,true,12,98.4,100,16.73,187.5,119,15.94,177.0,68,7.97,15.1,3,4.08,1,false
79,38336467,112,415,false,7.9,3,false,0,109.0,126,18.53,212.7,106,18.08,208.3,92,9.37,7.9,3,2.13,1,false
80,32970766,113,408,true,11.6,5,false,0,122.4,98,20.81,223.8,116,19.02,267.5,148,12.04,11.6,5,3.13,3,false
81,22704407,137,415,false,6.1,4,false,0,144.5,119,24.57,167.3,89,14.22,175.1,76,7.88,6.1,4,1.65,5,true
82,6793244,128,408,false,8.7,5,false,0,102.5,87,17.43,177.2,97,15.06,226.0,119,10.17,8.7,5,2.35,1,false
83,56815251,84,415,false,9.9,5,false,0,274.1,119,46.6,144.1,123,12.25,268.2,100,12.07,9.9,5,2.67,2,false
84,59757948,140,510,false,13.3,5,false,0,193.1,82,32.83,260.3,107,22.13,241.3,93,10.86,13.3,5,3.59,2,false
85,50465210,106,415,false,7.7,2,false,0,182.8,96,31.08,193.7,93,16.46,219.5,113,9.88,7.7,2,2.08,2,false
86,32034357,166,510,false,11.3,12,true,32,148.4,86,25.23,170.6,119,14.5,201.5,124,9.07,11.3,12,3.05,1,false
87,13938840,137,408,false,10.5,3,false,0,75.8,107,12.89,256.9,98,21.84,204.4,118,9.2,10.5,3,2.84,2,false
88,53531745,161,415,false,9.3,2,false,0,198.0,90,33.66,186.4,102,15.84,219.2,90,9.86,9.3,2,2.51,1,false
89,36106771,120,415,false,9.5,4,false,0,253.2,95,43.04,210.8,86,17.92,253.9,81,11.43,9.5,4,2.57,5,true
90,25335977,187,510,false,11.7,6,true,25,199.9,64,33.98,134.6,110,11.44,210.4,78,9.47,11.7,6,3.16,3,false
91,24358202,102,415,false,11.7,2,true,25,187.5,105,31.88,272.3,88,23.15,216.4,91,9.74,11.7,2,3.16,2,false
92,50670074,82,408,false,10.3,6,false,0,183.6,111,31.21,303.5,88,25.8,189.8,115,8.54,10.3,6,2.78,0,false
93,57089344,100,510,false,11.7,4,true,21,86.1,95,14.64,189.9,126,16.14,201.3,113,9.06,11.7,4,3.16,0,false
94,37665288,45,408,false,11.0,4,false,0,126.8,83,21.56,157.8,100,13.41,158.3,97,7.12,11.0,4,2.97,3,false
