Selected,LoanNr_ChkDgt,Name,Zip,ICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,daysterm,xx,Default
0,1004285007,SIMPLEX OFFICE SOLUTIONS,92801,532420,15074,2001,36,1,1,0,0,1,0,Y,N,,15095,32812,0,P I F,0,30000,15000,0,0,0.5,1080,16175,0
1,1004535010,DREAM HOME REALTY,90505,531210,15130,2001,56,1,1,0,0,1,0,Y,N,,15978,30000,0,P I F,0,30000,15000,0,0,0.5,1680,17658,0
0,1005005006,"Winset, Inc. dba Bankers Hill",92103,531210,15188,2001,36,10,1,0,0,1,0,Y,N,,15218,30000,0,P I F,0,30000,15000,0,0,0.5,1080,16298,0
1,1005535001,Shiva Management,92108,531312,15719,2003,36,6,1,0,0,1,0,Y,N,,15736,50000,0,P I F,0,50000,25000,0,0,0.5,1080,16816,0
1,1005996006,"GOLD CROWN HOME LOANS, INC",91345,531390,16840,2006,240,65,1,3,65,1,1,0,N,,16903,343000,0,P I F,0,343000,343000,0,1,1,7200,24103,0
1,1006295003,Ronald Lee Roberts,95831,531210,15813,2003,84,1,1,0,0,1,0,Y,N,,15825,55825,0,P I F,0,50000,25000,0,0,0.5,2520,18345,0
0,1015066002,SUPERIOR BROKERS REALTY,90255,531210,16841,2006,269,2,1,0,2,1,1,0,N,18641,16860,297500,0,CHGOFF,247074,297500,223125,0,1,0.75,8070,24930,1
0,1015266003,LIBERTY REALTY CO,90808,531210,16841,2006,84,1,2,2,1,1,2,Y,N,,16860,67047,0,P I F,0,30000,15000,1,0,0.5,2520,19380,0
0,1018975003,"SOUTHLAND MGT., CO.",92704,531390,16252,2004,22,5,1,0,0,1,1,N,N,18189,16283,50000,0,CHGOFF,35333,50000,25000,0,0,0.5,660,16943,1
1,1022515008,"AMR Appraisals, Inc.",94583,531320,16264,2004,84,4,2,0,0,1,1,Y,N,,16314,17500,0,P I F,0,10000,5000,1,0,0.5,2520,18834,0
